"Author","Title","Year","Journal","Location","Taxonomic_group_class","Taxonomic_order","Taxonomic_group_species","Primates","Mammals_Aves_Other","Measure_of_cognition","Measure_of_sociality","Cognitive_Ability_neuroanatomy_or_both","Cognitive_Ability_detailed","Sociality","Intra_inter_both","Captive_or_wild","Stats","Sample_size","Sample_size_species","Design","r","reverse","Sample_size_group1","Sample_size_group2","mean_grp1","dispersion_grp1","mean_grp2","dispersion_grp2","dispersion_type","ci_T","proportion_grp1","proportion_grp2","F","T","df","dferror","D","v","pearsonr_p","z","Source","Shared_control","Shared_treatment","paperid","studyid","esid","data_source","data_page","source_ref","figure_name","yi","CI","CI_low","CI_high","sd1","sd2","study","weight","sample.size","se","var","ci.lo","ci.hi","fishers.z","ci.lo.z","ci.hi.z","measure","row_id","vi","r_regt","yi_zr","se_zr","vi_zr"
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Comprehension","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,70.9,10,70.8,13,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es106","table","8","2",NA,0.00386029859067173,NA,NA,NA,10,13,"",40.9997019596751,40,0.156174329526807,0.0243904212031478,-0.293357288783823,0.300397412918911,0.00386031776611106,-0.302235743416121,0.309956378948344,"r",NA,NA,NA,0.00386031776611106,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Pointing cups","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,53.9,9,55.1,12,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es107","table","8","2",NA,-0.0503880654068419,NA,NA,NA,9,12,"",40.9491563123193,40,0.156270686800407,0.0244205275530709,-0.342317853576062,0.250413702344607,-0.0504307748676416,-0.356715692835778,0.255854143100495,"r",NA,NA,NA,-0.0504307748676416,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Attentional state","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",39,2,"Inter_individual_level",NA,"no",13,26,34.6,28,21.2,22,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es108","table","8","2",NA,0.253444567035886,NA,NA,NA,28,22,"",38.7058704481346,39,0.160735416781006,0.0258358742077636,-0.0558869225279818,0.5183830143101,0.259090411348916,-0.0559452165818903,0.574126039279722,"r",NA,NA,NA,0.259090411348916,0.166666666666667,0.0277777777777778
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Gaze following","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,23.9,17,30,33,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es109","table","8","2",NA,-0.0983140326192537,NA,NA,NA,17,33,"",40.8057482351133,40,0.15654504549145,0.0245063512679201,-0.384607018707952,0.205233395866027,-0.0986326387018971,-0.405455289823323,0.208190012419529,"r",NA,NA,NA,-0.0986326387018971,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Intentions","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",13,27,78.9,13,83.6,15,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es110","table","8","2",NA,-0.151132493017142,NA,NA,NA,13,15,"",40.5379019937739,40,0.157061364378009,0.0246682721802817,-0.430193268857939,0.15429323807664,-0.152299198460855,-0.460133816004475,0.155535419082764,"r",NA,NA,NA,-0.152299198460855,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Spatial Memory","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,55.6,17,66.7,18,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es111","table","8","2",NA,-0.292987061786102,NA,NA,NA,17,18,"",41.1164885677091,42,0.155952374287444,0.0243211430458911,-0.54235906094776,0.00383031493533163,-0.301830703239489,-0.60749174014639,0.00383033366741231,"r",NA,NA,NA,-0.301830703239489,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Object Permanence","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",39,2,"Inter_individual_level",NA,"no",27,12,38.3,15,42.1,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es112","table","8","2",NA,-0.126932495256889,NA,NA,NA,15,10,"",39.683267185008,39,0.158743623542182,0.0251995380153021,-0.412609985408989,0.181478305603773,-0.127620868321835,-0.438752653239897,0.183510916596227,"r",NA,NA,NA,-0.127620868321835,0.166666666666667,0.0277777777777778
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Rotation","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",38,2,"Inter_individual_level",NA,"no",26,12,41,9,47.7,9,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es113","table","8","2",NA,-0.327014279054553,NA,NA,NA,9,9,"",36.8533943431969,38,0.16472565869847,0.0271345426336448,-0.579917038773224,-0.0166234512695478,-0.339481341138819,-0.662337699517457,-0.0166249827601812,"r",NA,NA,NA,-0.339481341138819,0.169030850945703,0.0285714285714286
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Transposition","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",39,2,"Inter_individual_level",NA,"no",27,12,42.2,11,41.2,12,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es114","table","8","2",NA,0.0407865203644094,NA,NA,NA,11,12,"",39.9675339609718,39,0.158178088739255,0.0250203077572036,-0.262893493303225,0.337113656154062,0.0408091596381869,-0.269214197434133,0.350832516710507,"r",NA,NA,NA,0.0408091596381869,0.166666666666667,0.0277777777777778
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Relative Numbers","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",36,2,"Inter_individual_level",NA,"no",27,9,60.4,10,66,11,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es115","table","8","2",NA,-0.230344201896124,NA,NA,NA,10,11,"",36.018920598916,36,0.166622886240566,0.0277631862191366,-0.508813720168496,0.0917630601580702,-0.234552924350881,-0.561127780382505,0.092021931680743,"r",NA,NA,NA,-0.234552924350881,0.174077655955698,0.0303030303030303
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Addition Numbers","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",35,2,"Inter_individual_level",NA,"no",26,9,60.2,13,61.9,8,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es116","table","8","2",NA,-0.0618957140324264,NA,NA,NA,13,8,"",35.9328274385185,35,0.166822376646009,0.0278297053498229,-0.370446731775807,0.258957744785622,-0.0619749386871979,-0.388940788728751,0.264990911354355,"r",NA,NA,NA,-0.0619749386871979,0.176776695296637,0.03125
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Noise","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,59.3,10,50,17,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es117","table","8","2",NA,0.326735302611953,NA,NA,NA,10,17,"",40.631710368378,42,0.156879952063761,0.0246113193595281,0.0316793310665809,0.569409129452376,0.339168990975015,0.0316899350336728,0.646648046916358,"r",NA,NA,NA,0.339168990975015,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Shape","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,72.8,10,70.6,12,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es118","table","8","2",NA,0.097660067192499,NA,NA,NA,10,12,"",42.7987530414964,42,0.152856686850125,0.0233651667147973,-0.198932928344508,0.377864357531046,0.0979723333540244,-0.201621267668338,0.397565934376387,"r",NA,NA,NA,0.0979723333540244,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Tool properties","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,58.6,8,55.6,9,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es119","table","8","2",NA,0.169388527834825,NA,NA,NA,8,9,"",42.3886880332358,42,0.153594269410973,0.0235911995958905,-0.129274722338724,0.439875397127351,0.171037061195315,-0.130002175081933,0.472076297472564,"r",NA,NA,NA,0.171037061195315,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Comprehension","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",27,13,70.8,13,65.4,11,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es120","table","8","2",NA,0.199803506152968,NA,NA,NA,13,11,"",40.1853093665219,40,0.157748900875132,0.0248847157273124,-0.106251712269046,0.471276512409254,0.202527881339093,-0.106654282976946,0.511710045655132,"r",NA,NA,NA,0.202527881339093,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Pointing cups","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,55.1,12,68.3,16,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es121","table","8","2",NA,-0.423351483905219,NA,NA,NA,12,16,"",38.8657614317709,42,0.160404448988292,0.0257295872552376,-0.644688242344768,-0.136523559924213,-0.451768323141633,-0.766155266118678,-0.137381380164588,"r",NA,NA,NA,-0.451768323141633,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Attentional state","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",40,2,"Inter_individual_level",NA,"no",26,14,21.2,22,25,22,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es122","table","8","2",NA,-0.0821074815057432,NA,NA,NA,22,22,"",40.8647111955079,40,0.156432066700808,0.024470991492286,-0.370406329740157,0.220620699727949,-0.0822927444573112,-0.388893961218062,0.22430847230344,"r",NA,NA,NA,-0.0822927444573112,0.164398987305357,0.027027027027027
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Gaze following","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,30,33,11.1,17,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es123","table","8","2",NA,0.303387809974719,NA,NA,NA,33,17,"",40.9738237218844,42,0.156223640015013,0.0244058256995403,0.00705382717965859,0.55073755797297,0.313246652137525,0.00705394417435007,0.619439360100701,"r",NA,NA,NA,0.313246652137525,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Intentions","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",42,2,"Inter_individual_level",NA,"no",27,15,83.6,15,71.1,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es124","table","8","2",NA,0.406475706079513,NA,NA,NA,15,10,"",39.2178820139278,42,0.159682723863235,0.0254985723003823,0.117859400696875,0.631768838168618,0.431382104325484,0.118409716600288,0.74435449205068,"r",NA,NA,NA,0.431382104325484,0.160128153805087,0.0256410256410256
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Spatial Memory","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,53.9,23,66.7,18,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es125","table","8","2",NA,-0.297844530070737,NA,NA,NA,23,18,"",27.7003960846411,28,0.190001491645289,0.0361005668274348,-0.591225933979127,0.0651510304367087,-0.307152633462056,-0.67954871409571,0.0652434471715983,"r",NA,NA,NA,-0.307152633462056,0.2,0.04
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Object Permanence","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",25,2,"Inter_individual_level",NA,"no",13,12,47.9,12,42.1,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es126","table","8","2",NA,0.252830915531665,NA,NA,NA,12,10,"",25.174574572349,25,0.199305337712047,0.039722617640513,-0.131431798031875,0.57104088752606,0.258434745599069,-0.132196538243136,0.649066029441273,"r",NA,NA,NA,0.258434745599069,0.21320071635561,0.0454545454545454
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Rotation","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",25,2,"Inter_individual_level",NA,"no",13,12,45.3,10,47.7,9,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es127","table","8","2",NA,-0.124770910286668,NA,NA,NA,10,9,"",25.8038761427918,25,0.196860020357931,0.0387538676153251,-0.470928717851508,0.254682771506058,-0.125424494848244,-0.511263044745611,0.260414055049123,"r",NA,NA,NA,-0.125424494848244,0.21320071635561,0.0454545454545454
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Transposition","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",25,2,"Inter_individual_level",NA,"no",13,12,40.2,13,41.2,12,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es128","table","8","2",NA,-0.0398352442718391,NA,NA,NA,13,12,"",25.9801486659107,25,0.196191046632426,0.0384909267787266,-0.400617042516499,0.331641115576942,-0.0398563351647474,-0.42438372065352,0.344671050324025,"r",NA,NA,NA,-0.0398563351647474,0.21320071635561,0.0454545454545454
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Relative Numbers","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",22,2,"Inter_individual_level",NA,"no",13,9,62,7,66,11,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es129","table","8","2",NA,-0.21762305197361,NA,NA,NA,7,11,"",22.4664068492299,22,0.21097606619305,0.0445109005062943,-0.561256151295804,0.190008376342342,-0.221159632051158,-0.634665123389474,0.192345859287159,"r",NA,NA,NA,-0.221159632051158,0.229415733870562,0.0526315789473684
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Addition Numbers","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",22,2,"Inter_individual_level",NA,"no",13,9,70.9,20,61.9,8,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es130","table","8","2",NA,0.262031067805007,NA,NA,NA,20,8,"",22.2178868607964,22,0.212152729937535,0.0450087808199486,-0.14646277887958,0.594178152693253,0.268287967146297,-0.147523742753124,0.684099677045718,"r",NA,NA,NA,0.268287967146297,0.229415733870562,0.0526315789473684
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Noise","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,63.5,13,50,17,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es131","table","8","2",NA,0.403119143885069,NA,NA,NA,13,17,"",26.5237258626367,28,0.194170270085231,0.0377020937849714,0.0467668611485318,0.668449237835216,0.42736773740995,0.0468010011744832,0.807934473645417,"r",NA,NA,NA,0.42736773740995,0.2,0.04
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Shape","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,76.9,15,70.6,12,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es132","table","8","2",NA,0.227191318910221,NA,NA,NA,15,12,"",28.2582340066069,28,0.18811676054756,0.0353879155989081,-0.136616567354778,0.536998328458346,0.231225920279387,-0.137476155282176,0.59992799584095,"r",NA,NA,NA,0.231225920279387,0.2,0.04
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Tool properties","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,63.6,12,55.6,9,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es133","table","8","2",NA,0.355444751130248,NA,NA,NA,12,9,"",27.1119578661772,28,0.192052320759893,0.0368840939092607,-0.00475341265789597,0.634000803892908,0.371662183377331,-0.00475344845939307,0.748077815214054,"r",NA,NA,NA,0.371662183377331,0.2,0.04
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Comprehension","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",26,2,"Inter_individual_level",NA,"no",13,13,70.9,10,65.4,11,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es134","table","8","2",NA,0.253091002576081,NA,NA,NA,10,11,"",26.1397320207821,26,0.195591255536676,0.0382559392424131,-0.123997768448872,0.566303559954377,0.258712613182878,-0.124639203359976,0.642064429725733,"r",NA,NA,NA,0.258712613182878,0.208514414057075,0.0434782608695652
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Pointing cups","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,53.9,9,68.3,16,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es135","table","8","2",NA,-0.476863661642739,NA,NA,NA,9,16,"",25.4080069473513,28,0.198387680711314,0.0393576718580143,-0.720050397343374,-0.129355393804955,-0.518916927680546,-0.907749636851153,-0.130084218509939,"r",NA,NA,NA,-0.518916927680546,0.2,0.04
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Attentional state","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",27,2,"Inter_individual_level",NA,"no",13,14,34.6,28,25,22,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es136","table","8","2",NA,0.18799654520787,NA,NA,NA,28,22,"",27.5142903916305,27,0.190642990409895,0.0363447497924273,-0.181365137183001,0.510874865348976,0.190259498510721,-0.183393896597688,0.56391289361913,"r",NA,NA,NA,0.190259498510721,0.204124145231932,0.0416666666666667
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Gaze following","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,23.9,17,11.1,17,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es137","table","8","2",NA,0.351541150658455,NA,NA,NA,17,17,"",27.1559164610737,28,0.191896815615048,0.0368243878431957,-0.00890947820693021,0.631142013730115,0.367201133394024,-0.00890971395939383,0.743311980747441,"r",NA,NA,NA,0.367201133394024,0.2,0.04
"Fichtel et al","The lemur baseline: how lemurs compare to monkeys and apes in the Primate Cognition Test Battery",2020,"PeerJ","Gottingen, Germany","Mammalia","Primates","Multiple","Primates","Mammalia","Intentions","Average group size","Cognitive Ability","Cognitive Ability","Groupsize","Inter","Captive","mean",28,2,"Inter_individual_level",NA,"no",13,15,78.9,13,71.1,10,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SCOPUS",2,2,"paper27","study28","es138","table","8","2",NA,0.320868360385031,NA,NA,NA,13,10,"",27.4803816366734,28,0.190760573811625,0.0363895965209402,-0.0412456081634055,0.608476555951385,0.332614833262703,-0.0412690210782752,0.706498687603682,"r",NA,NA,NA,0.332614833262703,0.2,0.04
"Forss et al","Cognitive differences between orang-utan species: a test of the cultural intelligence hypothesis",2016,"Scientific Reports","Zurich, Switzerland","Mammalia","Primates","Multiple","Primates","Mammalia","Detour reaching latency","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","mean",20,2,"Inter_individual_level",NA,"yes",10,10,3.26253298153034,1.50587324570485,4.19656992084433,1.65051845448573,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper29","study30","es148","figure","3","2","paper29_study30_es148_2",0.28348234605331,NA,NA,NA,1.50587324570485,1.65051845448573,"",20.1627353637197,20,0.222702593658845,0.0495964452223767,-0.621811874278633,0.144016143275552,-0.29146467978605,-0.727953742621045,0.145024383048945,"r",NA,NA,NA,0.29146467978605,0.242535625036333,0.0588235294117647
"Forss et al","Cognitive differences between orang-utan species: a test of the cultural intelligence hypothesis",2016,"Scientific Reports","Zurich, Switzerland","Mammalia","Primates","Multiple","Primates","Mammalia","Innovation (Tube trap proportion)","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","mean",22,2,"Inter_individual_level",NA,"no",14,8,0.542885638297872,0.0824967966173611,0.387300531914894,0.12926922286248,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper29","study30","es149","figure","4","3","paper29_study30_es149_3",0.594034531645288,NA,NA,NA,0.0824967966173611,0.12926922286248,"",18.2867547462198,22,0.233846933801239,0.0546843884482411,0.22179780554373,0.815156685960683,0.683877709980512,0.225546141834962,1.14220927812606,"r",NA,NA,NA,0.683877709980512,0.229415733870562,0.0526315789473684
"Forss et al","Cognitive differences between orang-utan species: a test of the cultural intelligence hypothesis",2016,"Scientific Reports","Zurich, Switzerland","Mammalia","Primates","Multiple","Primates","Mammalia","Behavioural Inhibition","Sociality","Cognitive Ability","Cognitive Ability","Broadsociality","Inter","Captive","mean",24,2,"Inter_individual_level",NA,"yes",16,8,0.317567567567568,0.0799386138307764,0.405405405405405,0.00524158596986043,"sd",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"WOS",NA,NA,"paper29","study30","es150","figure","7","7","paper29_study30_es150_7",0.53102521786899,NA,NA,NA,0.0799386138307764,0.00524158596986043,"",21.0607342034876,24,0.217903018535261,0.0474817254867783,-0.769317735624167,-0.163022218739783,-0.59157193473324,-1.01865400318492,-0.164489866281565,"r",NA,NA,NA,0.59157193473324,0.218217890235992,0.0476190476190476
